"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Cài đặt ghi nhận","Kết quả","Chỉ báo kết quả","Người tiếp cận","Tần suất","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Lượt hiển thị","CPM (Chi phí trên mỗi 1.000 lượt hiển thị) (VND)","Lượt click vào liên kết",shop_clicks,"CPC (chi phí trên mỗi lượt click vào liên kết) (VND)","CTR (tỷ lệ click vào liên kết)","Lượt click (tất cả)","CTR (Tất cả)","CPC (tất cả) (VND)","Lượt xem trang đích","Chi phí trên mỗi lượt xem trang đích (VND)"
2026-04-18,2026-04-18,sd10,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,188500,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,sd11,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,186500,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,sd12,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,186500,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,sd13,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,186500,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,sd14,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,188500,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,sd15,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,186500,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,sd16,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,186500,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,0904cocphatsang,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,218000,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,ty6,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50214,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,ty7,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50243,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,ty8,inactive,-,,,0,0,,599855,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,ty9,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50112,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,ty10,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,200000,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,ty11,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,53333,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,ty12,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,51664,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,ty13,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,ty14,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,52113,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
