"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên nhóm quảng cáo","Phân phối nhóm quảng cáo","Cài đặt ghi nhận","Kết quả","Chỉ báo kết quả","Người tiếp cận","Tần suất","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Bắt đầu","Lượt hiển thị","CPM (Chi phí trên mỗi 1.000 lượt hiển thị) (VND)","Lượt click vào liên kết",shop_clicks,"CPC (chi phí trên mỗi lượt click vào liên kết) (VND)","CTR (tỷ lệ click vào liên kết)","Lượt click (tất cả)","CTR (Tất cả)","CPC (tất cả) (VND)","Lượt xem trang đích","Chi phí trên mỗi lượt xem trang đích (VND)"
2026-04-20,2026-04-20,MuseStudio-aotovoandinhhoa-0412,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,400000,"Hàng ngày",0,"Đang diễn ra",2026-04-12,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Gia Dụng - Máy đun nước -25-8 - Bản sao 3",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,512000,"Hàng ngày",0,"Đang diễn ra",2025-10-08,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"RoBot Lau Kính 1014",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,100000,"Hàng ngày",0,"Đang diễn ra",2025-10-14,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Máy Tiệt Trùng 1015",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,120500,"Hàng ngày",0,"Đang diễn ra",2025-10-15,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Vỏ Nhôm iWatch 1018",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-10-18,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Túi Tote nhẹ 1018",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,115000,"Hàng ngày",0,"Đang diễn ra",2025-10-18,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Bàn Ủi Mini 1019",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,71000,"Hàng ngày",0,"Đang diễn ra",2025-10-18,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Đồng Hồ Báo Thức 1019",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,72000,"Hàng ngày",0,"Đang diễn ra",2025-10-18,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Chuột Súng 1020",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-10-20,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Tua Vít 44 in 1 1020 - Nam",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-10-20,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Tua Vít 44 in 1 1020 - Nữ",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-10-20,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"RoBot Lau Kính 1014 - Bản sao 2",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-10-20,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"RoBot Lau Kính 1014 - Bản sao 1",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,51000,"Hàng ngày",0,"Đang diễn ra",2025-10-20,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Máy Đọc Sách - Bản sao 1",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,59200,"Hàng ngày",0,"Đang diễn ra",2025-10-20,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Máy Đọc Sách - Bản sao 2",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,58200,"Hàng ngày",0,"Đang diễn ra",2025-10-20,0,0,,,,,0,0,0,,
