"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Lượt hiển thị","Người tiếp cận","Tổng số người liên hệ nhắn tin","Người liên hệ nhắn tin mới","Lượt mua","Kết thúc","Cài đặt ghi nhận","Chi phí trên mỗi lượt mua (VND)","Lượt bắt đầu cuộc trò chuyện qua tin nhắn","Chi phí trên mỗi lượt bắt đầu cuộc trò chuyện qua tin nhắn (VND)"
2026-04-19,2026-04-19,MuseStudio-dobolinento-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-combomutuidibien-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-tuicoimucoidibien-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-ChanVayChuA-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-ChanVayXoeBong-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-DepMERCY-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-quanjeannuongsuong-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-giaycaogotmuivuong-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-quanjeannuongsuong2-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-quanjeanloangbui-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-aosomiketayphong-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-aotodinhdaxanhdam2-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-dambodylechvai-0416,not_delivering,,,,"Sử dụng ngân sách nhóm quảng cáo",0,0,0,0,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
2026-04-19,2026-04-19,MuseStudio-dambodynuluatochau-0416,not_delivering,14,actions:link_click,518.21428571,"Sử dụng ngân sách nhóm quảng cáo",0,7255,181,179,,,,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,
